PA,SZ,AG,Sex,TOD,Pop,Time
Newton,Cairnhill,85_to_89,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Cairnhill,85_to_89,Males,HDB 3-Room Flats,0,2015
Newton,Cairnhill,85_to_89,Males,HDB 4-Room Flats,0,2015
Newton,Cairnhill,85_to_89,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Cairnhill,85_to_89,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Cairnhill,85_to_89,Males,Landed Properties,0,2015
Newton,Cairnhill,85_to_89,Males,Condominiums and Other Apartments,10,2015
Newton,Cairnhill,85_to_89,Males,Others,0,2015
Newton,Cairnhill,85_to_89,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Cairnhill,85_to_89,Females,HDB 3-Room Flats,0,2015
Newton,Cairnhill,85_to_89,Females,HDB 4-Room Flats,0,2015
Newton,Cairnhill,85_to_89,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Cairnhill,85_to_89,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Cairnhill,85_to_89,Females,Landed Properties,0,2015
Newton,Cairnhill,85_to_89,Females,Condominiums and Other Apartments,20,2015
Newton,Cairnhill,85_to_89,Females,Others,0,2015
Newton,Cairnhill,90_and_over,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Cairnhill,90_and_over,Males,HDB 3-Room Flats,0,2015
Newton,Cairnhill,90_and_over,Males,HDB 4-Room Flats,0,2015
Newton,Cairnhill,90_and_over,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Cairnhill,90_and_over,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Cairnhill,90_and_over,Males,Landed Properties,0,2015
Newton,Cairnhill,90_and_over,Males,Condominiums and Other Apartments,10,2015
Newton,Cairnhill,90_and_over,Males,Others,0,2015
Newton,Cairnhill,90_and_over,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Cairnhill,90_and_over,Females,HDB 3-Room Flats,0,2015
Newton,Cairnhill,90_and_over,Females,HDB 4-Room Flats,0,2015
Newton,Cairnhill,90_and_over,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Cairnhill,90_and_over,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Cairnhill,90_and_over,Females,Landed Properties,0,2015
Newton,Cairnhill,90_and_over,Females,Condominiums and Other Apartments,10,2015
Newton,Cairnhill,90_and_over,Females,Others,0,2015
Newton,Istana Negara,65_to_69,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Istana Negara,65_to_69,Males,HDB 3-Room Flats,0,2015
Newton,Istana Negara,65_to_69,Males,HDB 4-Room Flats,0,2015
Newton,Istana Negara,65_to_69,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Istana Negara,65_to_69,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Istana Negara,65_to_69,Males,Landed Properties,0,2015
Newton,Istana Negara,65_to_69,Males,Condominiums and Other Apartments,0,2015
Newton,Istana Negara,65_to_69,Males,Others,0,2015
Newton,Istana Negara,65_to_69,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Istana Negara,65_to_69,Females,HDB 3-Room Flats,0,2015
Newton,Istana Negara,65_to_69,Females,HDB 4-Room Flats,0,2015
Newton,Istana Negara,65_to_69,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Istana Negara,65_to_69,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Istana Negara,65_to_69,Females,Landed Properties,0,2015
Newton,Istana Negara,65_to_69,Females,Condominiums and Other Apartments,0,2015
Newton,Istana Negara,65_to_69,Females,Others,0,2015
Newton,Istana Negara,70_to_74,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Istana Negara,70_to_74,Males,HDB 3-Room Flats,0,2015
Newton,Istana Negara,70_to_74,Males,HDB 4-Room Flats,0,2015
Newton,Istana Negara,70_to_74,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Istana Negara,70_to_74,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Istana Negara,70_to_74,Males,Landed Properties,0,2015
Newton,Istana Negara,70_to_74,Males,Condominiums and Other Apartments,0,2015
Newton,Istana Negara,70_to_74,Males,Others,0,2015
Newton,Istana Negara,70_to_74,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Istana Negara,70_to_74,Females,HDB 3-Room Flats,0,2015
Newton,Istana Negara,70_to_74,Females,HDB 4-Room Flats,0,2015
Newton,Istana Negara,70_to_74,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Istana Negara,70_to_74,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Istana Negara,70_to_74,Females,Landed Properties,0,2015
Newton,Istana Negara,70_to_74,Females,Condominiums and Other Apartments,0,2015
Newton,Istana Negara,70_to_74,Females,Others,0,2015
Newton,Istana Negara,75_to_79,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Istana Negara,75_to_79,Males,HDB 3-Room Flats,0,2015
Newton,Istana Negara,75_to_79,Males,HDB 4-Room Flats,0,2015
Newton,Istana Negara,75_to_79,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Istana Negara,75_to_79,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Istana Negara,75_to_79,Males,Landed Properties,0,2015
Newton,Istana Negara,75_to_79,Males,Condominiums and Other Apartments,0,2015
Newton,Istana Negara,75_to_79,Males,Others,0,2015
Newton,Istana Negara,75_to_79,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Istana Negara,75_to_79,Females,HDB 3-Room Flats,0,2015
Newton,Istana Negara,75_to_79,Females,HDB 4-Room Flats,0,2015
Newton,Istana Negara,75_to_79,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Istana Negara,75_to_79,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Istana Negara,75_to_79,Females,Landed Properties,0,2015
Newton,Istana Negara,75_to_79,Females,Condominiums and Other Apartments,0,2015
Newton,Istana Negara,75_to_79,Females,Others,0,2015
Newton,Istana Negara,80_to_84,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Istana Negara,80_to_84,Males,HDB 3-Room Flats,0,2015
Newton,Istana Negara,80_to_84,Males,HDB 4-Room Flats,0,2015
Newton,Istana Negara,80_to_84,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Istana Negara,80_to_84,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Istana Negara,80_to_84,Males,Landed Properties,0,2015
Newton,Istana Negara,80_to_84,Males,Condominiums and Other Apartments,0,2015
Newton,Istana Negara,80_to_84,Males,Others,0,2015
Newton,Istana Negara,80_to_84,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Istana Negara,80_to_84,Females,HDB 3-Room Flats,0,2015
Newton,Istana Negara,80_to_84,Females,HDB 4-Room Flats,0,2015
Newton,Istana Negara,80_to_84,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Istana Negara,80_to_84,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Istana Negara,80_to_84,Females,Landed Properties,0,2015
Newton,Istana Negara,80_to_84,Females,Condominiums and Other Apartments,0,2015
Newton,Istana Negara,80_to_84,Females,Others,0,2015
Newton,Istana Negara,85_to_89,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Istana Negara,85_to_89,Males,HDB 3-Room Flats,0,2015
Newton,Istana Negara,85_to_89,Males,HDB 4-Room Flats,0,2015
Newton,Istana Negara,85_to_89,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Istana Negara,85_to_89,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Istana Negara,85_to_89,Males,Landed Properties,0,2015
Newton,Istana Negara,85_to_89,Males,Condominiums and Other Apartments,0,2015
Newton,Istana Negara,85_to_89,Males,Others,0,2015
Newton,Istana Negara,85_to_89,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Istana Negara,85_to_89,Females,HDB 3-Room Flats,0,2015
Newton,Istana Negara,85_to_89,Females,HDB 4-Room Flats,0,2015
Newton,Istana Negara,85_to_89,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Istana Negara,85_to_89,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Istana Negara,85_to_89,Females,Landed Properties,0,2015
Newton,Istana Negara,85_to_89,Females,Condominiums and Other Apartments,0,2015
Newton,Istana Negara,85_to_89,Females,Others,0,2015
Newton,Istana Negara,90_and_over,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Istana Negara,90_and_over,Males,HDB 3-Room Flats,0,2015
Newton,Istana Negara,90_and_over,Males,HDB 4-Room Flats,0,2015
Newton,Istana Negara,90_and_over,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Istana Negara,90_and_over,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Istana Negara,90_and_over,Males,Landed Properties,0,2015
Newton,Istana Negara,90_and_over,Males,Condominiums and Other Apartments,0,2015
Newton,Istana Negara,90_and_over,Males,Others,0,2015
Newton,Istana Negara,90_and_over,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Istana Negara,90_and_over,Females,HDB 3-Room Flats,0,2015
Newton,Istana Negara,90_and_over,Females,HDB 4-Room Flats,0,2015
Newton,Istana Negara,90_and_over,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Istana Negara,90_and_over,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Istana Negara,90_and_over,Females,Landed Properties,0,2015
Newton,Istana Negara,90_and_over,Females,Condominiums and Other Apartments,0,2015
Newton,Istana Negara,90_and_over,Females,Others,0,2015
Newton,Monk's Hill,65_to_69,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Monk's Hill,65_to_69,Males,HDB 3-Room Flats,0,2015
Newton,Monk's Hill,65_to_69,Males,HDB 4-Room Flats,0,2015
Newton,Monk's Hill,65_to_69,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Monk's Hill,65_to_69,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Monk's Hill,65_to_69,Males,Landed Properties,0,2015
Newton,Monk's Hill,65_to_69,Males,Condominiums and Other Apartments,20,2015
Newton,Monk's Hill,65_to_69,Males,Others,0,2015
Newton,Monk's Hill,65_to_69,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Monk's Hill,65_to_69,Females,HDB 3-Room Flats,0,2015
Newton,Monk's Hill,65_to_69,Females,HDB 4-Room Flats,0,2015
Newton,Monk's Hill,65_to_69,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Monk's Hill,65_to_69,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Monk's Hill,65_to_69,Females,Landed Properties,0,2015
Newton,Monk's Hill,65_to_69,Females,Condominiums and Other Apartments,30,2015
Newton,Monk's Hill,65_to_69,Females,Others,0,2015
Newton,Monk's Hill,70_to_74,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Monk's Hill,70_to_74,Males,HDB 3-Room Flats,0,2015
Newton,Monk's Hill,70_to_74,Males,HDB 4-Room Flats,0,2015
Newton,Monk's Hill,70_to_74,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Monk's Hill,70_to_74,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Monk's Hill,70_to_74,Males,Landed Properties,0,2015
Newton,Monk's Hill,70_to_74,Males,Condominiums and Other Apartments,10,2015
Newton,Monk's Hill,70_to_74,Males,Others,0,2015
Newton,Monk's Hill,70_to_74,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Monk's Hill,70_to_74,Females,HDB 3-Room Flats,0,2015
Newton,Monk's Hill,70_to_74,Females,HDB 4-Room Flats,0,2015
Newton,Monk's Hill,70_to_74,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Monk's Hill,70_to_74,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Monk's Hill,70_to_74,Females,Landed Properties,0,2015
Newton,Monk's Hill,70_to_74,Females,Condominiums and Other Apartments,20,2015
Newton,Monk's Hill,70_to_74,Females,Others,0,2015
Newton,Monk's Hill,75_to_79,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Monk's Hill,75_to_79,Males,HDB 3-Room Flats,0,2015
Newton,Monk's Hill,75_to_79,Males,HDB 4-Room Flats,0,2015
Newton,Monk's Hill,75_to_79,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Monk's Hill,75_to_79,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Monk's Hill,75_to_79,Males,Landed Properties,0,2015
Newton,Monk's Hill,75_to_79,Males,Condominiums and Other Apartments,10,2015
Newton,Monk's Hill,75_to_79,Males,Others,0,2015
Newton,Monk's Hill,75_to_79,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Monk's Hill,75_to_79,Females,HDB 3-Room Flats,0,2015
Newton,Monk's Hill,75_to_79,Females,HDB 4-Room Flats,0,2015
Newton,Monk's Hill,75_to_79,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Monk's Hill,75_to_79,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Monk's Hill,75_to_79,Females,Landed Properties,0,2015
Newton,Monk's Hill,75_to_79,Females,Condominiums and Other Apartments,20,2015
Newton,Monk's Hill,75_to_79,Females,Others,0,2015
Newton,Monk's Hill,80_to_84,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Monk's Hill,80_to_84,Males,HDB 3-Room Flats,0,2015
Newton,Monk's Hill,80_to_84,Males,HDB 4-Room Flats,0,2015
Newton,Monk's Hill,80_to_84,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Monk's Hill,80_to_84,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Monk's Hill,80_to_84,Males,Landed Properties,0,2015
Newton,Monk's Hill,80_to_84,Males,Condominiums and Other Apartments,10,2015
Newton,Monk's Hill,80_to_84,Males,Others,0,2015
Newton,Monk's Hill,80_to_84,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Monk's Hill,80_to_84,Females,HDB 3-Room Flats,0,2015
Newton,Monk's Hill,80_to_84,Females,HDB 4-Room Flats,0,2015
Newton,Monk's Hill,80_to_84,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Monk's Hill,80_to_84,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Monk's Hill,80_to_84,Females,Landed Properties,0,2015
Newton,Monk's Hill,80_to_84,Females,Condominiums and Other Apartments,10,2015
Newton,Monk's Hill,80_to_84,Females,Others,0,2015
Newton,Monk's Hill,85_to_89,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Monk's Hill,85_to_89,Males,HDB 3-Room Flats,0,2015
Newton,Monk's Hill,85_to_89,Males,HDB 4-Room Flats,0,2015
Newton,Monk's Hill,85_to_89,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Monk's Hill,85_to_89,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Monk's Hill,85_to_89,Males,Landed Properties,0,2015
Newton,Monk's Hill,85_to_89,Males,Condominiums and Other Apartments,10,2015
Newton,Monk's Hill,85_to_89,Males,Others,0,2015
Newton,Monk's Hill,85_to_89,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Monk's Hill,85_to_89,Females,HDB 3-Room Flats,0,2015
Newton,Monk's Hill,85_to_89,Females,HDB 4-Room Flats,0,2015
Newton,Monk's Hill,85_to_89,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Monk's Hill,85_to_89,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Monk's Hill,85_to_89,Females,Landed Properties,0,2015
Newton,Monk's Hill,85_to_89,Females,Condominiums and Other Apartments,10,2015
Newton,Monk's Hill,85_to_89,Females,Others,0,2015
Newton,Monk's Hill,90_and_over,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Monk's Hill,90_and_over,Males,HDB 3-Room Flats,0,2015
Newton,Monk's Hill,90_and_over,Males,HDB 4-Room Flats,0,2015
Newton,Monk's Hill,90_and_over,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Monk's Hill,90_and_over,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Monk's Hill,90_and_over,Males,Landed Properties,0,2015
Newton,Monk's Hill,90_and_over,Males,Condominiums and Other Apartments,0,2015
Newton,Monk's Hill,90_and_over,Males,Others,0,2015
Newton,Monk's Hill,90_and_over,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Monk's Hill,90_and_over,Females,HDB 3-Room Flats,0,2015
Newton,Monk's Hill,90_and_over,Females,HDB 4-Room Flats,0,2015
Newton,Monk's Hill,90_and_over,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Monk's Hill,90_and_over,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Monk's Hill,90_and_over,Females,Landed Properties,0,2015
Newton,Monk's Hill,90_and_over,Females,Condominiums and Other Apartments,0,2015
Newton,Monk's Hill,90_and_over,Females,Others,0,2015
Newton,Newton Circus,65_to_69,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Newton Circus,65_to_69,Males,HDB 3-Room Flats,0,2015
Newton,Newton Circus,65_to_69,Males,HDB 4-Room Flats,0,2015
Newton,Newton Circus,65_to_69,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Newton Circus,65_to_69,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Newton Circus,65_to_69,Males,Landed Properties,0,2015
Newton,Newton Circus,65_to_69,Males,Condominiums and Other Apartments,0,2015
Newton,Newton Circus,65_to_69,Males,Others,0,2015
Newton,Newton Circus,65_to_69,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Newton Circus,65_to_69,Females,HDB 3-Room Flats,0,2015
Newton,Newton Circus,65_to_69,Females,HDB 4-Room Flats,0,2015
Newton,Newton Circus,65_to_69,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Newton Circus,65_to_69,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Newton Circus,65_to_69,Females,Landed Properties,0,2015
Newton,Newton Circus,65_to_69,Females,Condominiums and Other Apartments,10,2015
Newton,Newton Circus,65_to_69,Females,Others,0,2015
Newton,Newton Circus,70_to_74,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Newton Circus,70_to_74,Males,HDB 3-Room Flats,0,2015
Newton,Newton Circus,70_to_74,Males,HDB 4-Room Flats,0,2015
Newton,Newton Circus,70_to_74,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Newton Circus,70_to_74,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Newton Circus,70_to_74,Males,Landed Properties,0,2015
Newton,Newton Circus,70_to_74,Males,Condominiums and Other Apartments,0,2015
Newton,Newton Circus,70_to_74,Males,Others,0,2015
Newton,Newton Circus,70_to_74,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Newton Circus,70_to_74,Females,HDB 3-Room Flats,0,2015
Newton,Newton Circus,70_to_74,Females,HDB 4-Room Flats,0,2015
Newton,Newton Circus,70_to_74,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Newton Circus,70_to_74,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Newton Circus,70_to_74,Females,Landed Properties,0,2015
Newton,Newton Circus,70_to_74,Females,Condominiums and Other Apartments,0,2015
Newton,Newton Circus,70_to_74,Females,Others,0,2015
Newton,Newton Circus,75_to_79,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Newton Circus,75_to_79,Males,HDB 3-Room Flats,0,2015
Newton,Newton Circus,75_to_79,Males,HDB 4-Room Flats,0,2015
Newton,Newton Circus,75_to_79,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Newton Circus,75_to_79,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Newton Circus,75_to_79,Males,Landed Properties,0,2015
Newton,Newton Circus,75_to_79,Males,Condominiums and Other Apartments,0,2015
Newton,Newton Circus,75_to_79,Males,Others,0,2015
Newton,Newton Circus,75_to_79,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Newton Circus,75_to_79,Females,HDB 3-Room Flats,0,2015
Newton,Newton Circus,75_to_79,Females,HDB 4-Room Flats,0,2015
Newton,Newton Circus,75_to_79,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Newton Circus,75_to_79,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Newton Circus,75_to_79,Females,Landed Properties,0,2015
Newton,Newton Circus,75_to_79,Females,Condominiums and Other Apartments,0,2015
Newton,Newton Circus,75_to_79,Females,Others,0,2015
Newton,Newton Circus,80_to_84,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Newton Circus,80_to_84,Males,HDB 3-Room Flats,0,2015
Newton,Newton Circus,80_to_84,Males,HDB 4-Room Flats,0,2015
Newton,Newton Circus,80_to_84,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Newton Circus,80_to_84,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Newton Circus,80_to_84,Males,Landed Properties,0,2015
Newton,Newton Circus,80_to_84,Males,Condominiums and Other Apartments,0,2015
Newton,Newton Circus,80_to_84,Males,Others,0,2015
Newton,Newton Circus,80_to_84,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Newton Circus,80_to_84,Females,HDB 3-Room Flats,0,2015
Newton,Newton Circus,80_to_84,Females,HDB 4-Room Flats,0,2015
Newton,Newton Circus,80_to_84,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Newton Circus,80_to_84,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Newton Circus,80_to_84,Females,Landed Properties,0,2015
Newton,Newton Circus,80_to_84,Females,Condominiums and Other Apartments,0,2015
Newton,Newton Circus,80_to_84,Females,Others,0,2015
Newton,Newton Circus,85_to_89,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Newton Circus,85_to_89,Males,HDB 3-Room Flats,0,2015
Newton,Newton Circus,85_to_89,Males,HDB 4-Room Flats,0,2015
Newton,Newton Circus,85_to_89,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Newton Circus,85_to_89,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Newton Circus,85_to_89,Males,Landed Properties,0,2015
Newton,Newton Circus,85_to_89,Males,Condominiums and Other Apartments,0,2015
Newton,Newton Circus,85_to_89,Males,Others,0,2015
Newton,Newton Circus,85_to_89,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Newton Circus,85_to_89,Females,HDB 3-Room Flats,0,2015
Newton,Newton Circus,85_to_89,Females,HDB 4-Room Flats,0,2015
Newton,Newton Circus,85_to_89,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Newton Circus,85_to_89,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Newton Circus,85_to_89,Females,Landed Properties,0,2015
Newton,Newton Circus,85_to_89,Females,Condominiums and Other Apartments,0,2015
Newton,Newton Circus,85_to_89,Females,Others,0,2015
Newton,Newton Circus,90_and_over,Males,HDB 1- and 2-Room Flats,0,2015
Newton,Newton Circus,90_and_over,Males,HDB 3-Room Flats,0,2015
Newton,Newton Circus,90_and_over,Males,HDB 4-Room Flats,0,2015
Newton,Newton Circus,90_and_over,Males,HDB 5-Room and Executive Flats,0,2015
Newton,Newton Circus,90_and_over,Males,HUDC Flats (excluding those privatised),0,2015
Newton,Newton Circus,90_and_over,Males,Landed Properties,0,2015
Newton,Newton Circus,90_and_over,Males,Condominiums and Other Apartments,0,2015
Newton,Newton Circus,90_and_over,Males,Others,0,2015
Newton,Newton Circus,90_and_over,Females,HDB 1- and 2-Room Flats,0,2015
Newton,Newton Circus,90_and_over,Females,HDB 3-Room Flats,0,2015
Newton,Newton Circus,90_and_over,Females,HDB 4-Room Flats,0,2015
Newton,Newton Circus,90_and_over,Females,HDB 5-Room and Executive Flats,0,2015
Newton,Newton Circus,90_and_over,Females,HUDC Flats (excluding those privatised),0,2015
Newton,Newton Circus,90_and_over,Females,Landed Properties,0,2015
Newton,Newton Circus,90_and_over,Females,Condominiums and Other Apartments,0,2015
Newton,Newton Circus,90_and_over,Females,Others,0,2015
Novena,Moulmein,65_to_69,Males,HDB 1- and 2-Room Flats,0,2015
Novena,Moulmein,65_to_69,Males,HDB 3-Room Flats,0,2015
Novena,Moulmein,65_to_69,Males,HDB 4-Room Flats,10,2015
Novena,Moulmein,65_to_69,Males,HDB 5-Room and Executive Flats,0,2015
Novena,Moulmein,65_to_69,Males,HUDC Flats (excluding those privatised),0,2015
Novena,Moulmein,65_to_69,Males,Landed Properties,40,2015
Novena,Moulmein,65_to_69,Males,Condominiums and Other Apartments,80,2015
Novena,Moulmein,65_to_69,Males,Others,0,2015
Novena,Moulmein,65_to_69,Females,HDB 1- and 2-Room Flats,0,2015
Novena,Moulmein,65_to_69,Females,HDB 3-Room Flats,0,2015
Novena,Moulmein,65_to_69,Females,HDB 4-Room Flats,10,2015
Novena,Moulmein,65_to_69,Females,HDB 5-Room and Executive Flats,0,2015
Novena,Moulmein,65_to_69,Females,HUDC Flats (excluding those privatised),0,2015
Novena,Moulmein,65_to_69,Females,Landed Properties,50,2015
Novena,Moulmein,65_to_69,Females,Condominiums and Other Apartments,100,2015
Novena,Moulmein,65_to_69,Females,Others,0,2015
Novena,Moulmein,70_to_74,Males,HDB 1- and 2-Room Flats,0,2015
Novena,Moulmein,70_to_74,Males,HDB 3-Room Flats,0,2015
Novena,Moulmein,70_to_74,Males,HDB 4-Room Flats,10,2015
Novena,Moulmein,70_to_74,Males,HDB 5-Room and Executive Flats,0,2015
Novena,Moulmein,70_to_74,Males,HUDC Flats (excluding those privatised),0,2015
Novena,Moulmein,70_to_74,Males,Landed Properties,20,2015
Novena,Moulmein,70_to_74,Males,Condominiums and Other Apartments,50,2015
Novena,Moulmein,70_to_74,Males,Others,0,2015
Novena,Moulmein,70_to_74,Females,HDB 1- and 2-Room Flats,0,2015
Novena,Moulmein,70_to_74,Females,HDB 3-Room Flats,0,2015
Novena,Moulmein,70_to_74,Females,HDB 4-Room Flats,10,2015
Novena,Moulmein,70_to_74,Females,HDB 5-Room and Executive Flats,0,2015
Novena,Moulmein,70_to_74,Females,HUDC Flats (excluding those privatised),0,2015
Novena,Moulmein,70_to_74,Females,Landed Properties,30,2015
Novena,Moulmein,70_to_74,Females,Condominiums and Other Apartments,70,2015
Novena,Moulmein,70_to_74,Females,Others,0,2015
Novena,Moulmein,75_to_79,Males,HDB 1- and 2-Room Flats,0,2015
Novena,Moulmein,75_to_79,Males,HDB 3-Room Flats,0,2015
Novena,Moulmein,75_to_79,Males,HDB 4-Room Flats,0,2015
Novena,Moulmein,75_to_79,Males,HDB 5-Room and Executive Flats,0,2015
Novena,Moulmein,75_to_79,Males,HUDC Flats (excluding those privatised),0,2015
Novena,Moulmein,75_to_79,Males,Landed Properties,20,2015
Novena,Moulmein,75_to_79,Males,Condominiums and Other Apartments,50,2015
Novena,Moulmein,75_to_79,Males,Others,0,2015
Novena,Moulmein,75_to_79,Females,HDB 1- and 2-Room Flats,0,2015
Novena,Moulmein,75_to_79,Females,HDB 3-Room Flats,0,2015
Novena,Moulmein,75_to_79,Females,HDB 4-Room Flats,0,2015
Novena,Moulmein,75_to_79,Females,HDB 5-Room and Executive Flats,0,2015
Novena,Moulmein,75_to_79,Females,HUDC Flats (excluding those privatised),0,2015
Novena,Moulmein,75_to_79,Females,Landed Properties,20,2015
Novena,Moulmein,75_to_79,Females,Condominiums and Other Apartments,60,2015
Novena,Moulmein,75_to_79,Females,Others,0,2015
Novena,Moulmein,80_to_84,Males,HDB 1- and 2-Room Flats,0,2015
Novena,Moulmein,80_to_84,Males,HDB 3-Room Flats,0,2015
Novena,Moulmein,80_to_84,Males,HDB 4-Room Flats,0,2015
Novena,Moulmein,80_to_84,Males,HDB 5-Room and Executive Flats,0,2015
Novena,Moulmein,80_to_84,Males,HUDC Flats (excluding those privatised),0,2015
Novena,Moulmein,80_to_84,Males,Landed Properties,10,2015
Novena,Moulmein,80_to_84,Males,Condominiums and Other Apartments,30,2015
Novena,Moulmein,80_to_84,Males,Others,0,2015
Novena,Moulmein,80_to_84,Females,HDB 1- and 2-Room Flats,0,2015
